Внутренний ID,Время создания заказа,ID мерчанта,Статус,Сумма,Валюта,ID заказа,Тип заказа,Описание заказа
66996011,20.11.17 16:10:15,1397120,reversed,"1,6",GBP,demo07173465,verification,demo
66996008,20.11.17 16:10:15,1397120,reversed,"7,71",GBP,demo68745721,verification,demo
66996002,20.11.17 16:10:13,1397120,reversed,"2,98",GBP,demo12823680,verification,demo
66995999,20.11.17 16:10:13,1397120,reversed,"8,69",GBP,demo04015932,verification,demo
66995997,20.11.17 16:10:12,1397120,approved,"6,68",UAH,demo97196941,purchase,demo
66995996,20.11.17 16:10:12,1397120,approved,"2,97",UAH,demo24627517,purchase,demo
66995989,20.11.17 16:10:10,1397120,approved,"5,2",UAH,demo63601538,purchase,demo
66995987,20.11.17 16:10:10,1397120,approved,"9,79",UAH,demo36169791,purchase,demo
66995978,20.11.17 16:10:08,1397120,approved,"4,05",UAH,demo98035116,purchase,demo
66995976,20.11.17 16:10:07,1397120,approved,"9,43",UAH,demo98997118,purchase,demo
66995969,20.11.17 16:10:05,1397120,approved,"1,07",UAH,demo26912177,purchase,demo
66995964,20.11.17 16:10:04,1397120,approved,"9,05",UAH,demo87286570,purchase,demo
66995959,20.11.17 16:10:03,1397120,approved,"8,02",UAH,demo38584309,purchase,demo
66995957,20.11.17 16:10:02,1397120,approved,"1,04",UAH,demo55436096,purchase,demo
66983189,20.11.17 15:12:00,1397120,processing,"2,56",RUB,demo29055585,verification,demo
66983186,20.11.17 15:12:00,1397120,processing,"1,18",RUB,demo48783962,verification,demo
66983178,20.11.17 15:11:58,1397120,processing,"0,4",RUB,demo57719387,verification,demo
66983173,20.11.17 15:11:57,1397120,processing,"8,02",RUB,demo61974484,verification,demo
66983155,20.11.17 15:11:53,1397120,processing,"2,39",RUB,demo52377028,verification,demo
66983150,20.11.17 15:11:53,1397120,processing,"4,17",RUB,demo89696291,verification,demo
66983142,20.11.17 15:11:52,1397120,processing,"8,69",RUB,demo09406599,verification,demo
66983136,20.11.17 15:11:51,1397120,processing,"3,71",RUB,demo15004867,verification,demo
66983126,20.11.17 15:11:49,1397120,processing,"3,11",RUB,demo29401728,verification,demo
66983116,20.11.17 15:11:48,1397120,processing,"7,1",RUB,demo03025098,verification,demo
66983107,20.11.17 15:11:47,1397120,processing,"5,58",CZK,demo23920215,verification,demo
66983106,20.11.17 15:11:47,1397120,processing,"4,85",CZK,demo90061676,verification,demo
66983092,20.11.17 15:11:44,1397120,processing,"3,4",CZK,demo52523444,verification,demo
66983086,20.11.17 15:11:43,1397120,processing,"0,14",CZK,demo62878758,verification,demo
66983061,20.11.17 15:11:40,1397120,processing,"4,62",CZK,demo17385458,verification,demo
66983057,20.11.17 15:11:40,1397120,processing,"6,07",CZK,demo38481573,verification,demo
66983046,20.11.17 15:11:38,1397120,processing,"1,68",CZK,demo79140971,verification,demo
66983038,20.11.17 15:11:37,1397120,processing,"9,34",CZK,demo61437623,verification,demo
66983032,20.11.17 15:11:36,1397120,processing,"5,97",CZK,demo34880239,verification,demo
66983028,20.11.17 15:11:36,1397120,processing,"3,57",CZK,demo92804774,verification,demo
66983022,20.11.17 15:11:35,1397120,declined,"5,47",CZK,demo38661092,verification,demo
66983016,20.11.17 15:11:34,1397120,declined,"1,39",CZK,demo85219301,verification,demo
66983004,20.11.17 15:11:32,1397120,declined,"0,05",CZK,demo57938756,verification,demo
66982997,20.11.17 15:11:31,1397120,declined,"0,58",CZK,demo50509860,verification,demo
66982980,20.11.17 15:11:28,1397120,declined,"8,23",CZK,demo77210389,verification,demo
66982977,20.11.17 15:11:28,1397120,declined,"2,61",CZK,demo98854062,verification,demo
66982966,20.11.17 15:11:26,1397120,declined,"4,19",CZK,demo27929101,verification,demo
66982960,20.11.17 15:11:25,1397120,declined,"4,39",CZK,demo07344510,verification,demo
66982947,20.11.17 15:11:24,1397120,declined,"2,67",CZK,demo38523910,verification,demo
66982945,20.11.17 15:11:23,1397120,declined,"6,23",CZK,demo21481738,verification,demo
66982939,20.11.17 15:11:22,1397120,processing,"4,58",UAH,demo27200428,verification,demo
66982937,20.11.17 15:11:22,1397120,processing,"1,49",UAH,demo34647127,verification,demo
66982932,20.11.17 15:11:20,1397120,processing,"9,46",UAH,demo86806504,verification,demo
66982930,20.11.17 15:11:20,1397120,processing,"5,59",UAH,demo61165991,verification,demo
66982923,20.11.17 15:11:18,1397120,processing,"4,03",UAH,demo49783761,verification,demo
66982914,20.11.17 15:11:17,1397120,processing,"0,4",UAH,demo18840449,verification,demo
66982906,20.11.17 15:11:16,1397120,processing,"4,67",UAH,demo25012326,verification,demo
66982901,20.11.17 15:11:15,1397120,processing,"1,36",UAH,demo62313231,verification,demo
66982898,20.11.17 15:11:15,1397120,processing,"5,8",UAH,demo45527298,verification,demo
66982894,20.11.17 15:11:14,1397120,processing,"3,2",USD,demo57026609,verification,demo
66982892,20.11.17 15:11:13,1397120,processing,"0,67",USD,demo70817228,verification,demo
66982884,20.11.17 15:11:12,1397120,processing,"4,14",USD,demo38357331,verification,demo
66982880,20.11.17 15:11:12,1397120,processing,"7,5",USD,demo71973296,verification,demo
66982871,20.11.17 15:11:10,1397120,processing,"3,09",USD,demo60160613,verification,demo
66982869,20.11.17 15:11:10,1397120,processing,"9,26",USD,demo24876140,verification,demo
66982865,20.11.17 15:11:09,1397120,processing,"6,3",USD,demo10627793,verification,demo
66982861,20.11.17 15:11:08,1397120,processing,"3,14",USD,demo69974453,verification,demo
66982858,20.11.17 15:11:07,1397120,processing,"2,46",USD,demo00973495,verification,demo
66982855,20.11.17 15:11:06,1397120,processing,"8,09",USD,demo61786057,verification,demo
66982848,20.11.17 15:11:05,1397120,reversed,"6,03",USD,demo37981760,verification,demo
66982844,20.11.17 15:11:05,1397120,reversed,"4,99",USD,demo28702998,verification,demo
66982839,20.11.17 15:11:04,1397120,reversed,"0,74",USD,demo61161308,verification,demo
66982836,20.11.17 15:11:03,1397120,reversed,"7,96",USD,demo12471493,verification,demo
66982828,20.11.17 15:11:01,1397120,reversed,"2,26",USD,demo67879296,verification,demo
66982826,20.11.17 15:11:01,1397120,reversed,"4,8",USD,demo06890808,verification,demo
66982820,20.11.17 15:11:00,1397120,reversed,"9,83",USD,demo61963394,verification,demo
66982813,20.11.17 15:10:59,1397120,reversed,"9,88",USD,demo26065977,verification,demo
66982810,20.11.17 15:10:58,1397120,reversed,"1,09",USD,demo67409059,verification,demo
66982808,20.11.17 15:10:58,1397120,reversed,"1,43",USD,demo79291254,verification,demo
66982803,20.11.17 15:10:57,1397120,reversed,"6,17",RUB,demo75164153,verification,demo
66982801,20.11.17 15:10:56,1397120,reversed,"3,09",RUB,demo29314814,verification,demo
66982796,20.11.17 15:10:55,1397120,reversed,"5,46",RUB,demo40806112,verification,demo
66982795,20.11.17 15:10:54,1397120,reversed,"4,04",RUB,demo37047122,verification,demo
66982786,20.11.17 15:10:53,1397120,reversed,"2,6",RUB,demo71151862,verification,demo
66982785,20.11.17 15:10:52,1397120,reversed,"2,53",RUB,demo03332415,verification,demo
66982780,20.11.17 15:10:51,1397120,reversed,"8,64",RUB,demo07148066,verification,demo
66982774,20.11.17 15:10:50,1397120,reversed,"8,17",RUB,demo09367844,verification,demo
66982760,20.11.17 15:10:45,1397120,reversed,"8,45",RUB,demo40123886,verification,demo
66982754,20.11.17 15:10:42,1397120,reversed,"7,84",RUB,demo40109678,verification,demo
66982745,20.11.17 15:10:40,1397120,reversed,"4,1",GBP,demo20079590,verification,demo
66982744,20.11.17 15:10:40,1397120,reversed,"5,07",GBP,demo86647011,verification,demo
66982736,20.11.17 15:10:38,1397120,reversed,"4,18",GBP,demo70288467,verification,demo
66982733,20.11.17 15:10:38,1397120,reversed,"6,55",GBP,demo62279550,verification,demo
66982718,20.11.17 15:10:35,1397120,reversed,"2,34",GBP,demo40319535,verification,demo
66982705,20.11.17 15:10:33,1397120,reversed,"1,15",GBP,demo86297967,verification,demo
66982696,20.11.17 15:10:32,1397120,reversed,"8,78",GBP,demo45037842,verification,demo
66982687,20.11.17 15:10:30,1397120,reversed,"6,08",GBP,demo16852632,verification,demo
66982675,20.11.17 15:10:29,1397120,reversed,"7,7",GBP,demo34180989,verification,demo
66982657,20.11.17 15:10:26,1397120,approved,"2,96",EUR,demo32013995,purchase,demo
66982652,20.11.17 15:10:25,1397120,approved,"0,69",EUR,demo95568362,purchase,demo
66982638,20.11.17 15:10:22,1397120,approved,"6,74",EUR,demo46193782,purchase,demo
66982618,20.11.17 15:10:19,1397120,approved,"6,99",EUR,demo50578091,purchase,demo
66982585,20.11.17 15:10:12,1397120,approved,"0,59",EUR,demo51876105,purchase,demo
66982577,20.11.17 15:10:11,1397120,approved,"2,45",EUR,demo21676969,purchase,demo
66982567,20.11.17 15:10:09,1397120,approved,"2,36",EUR,demo83054376,purchase,demo
66982550,20.11.17 15:10:06,1397120,approved,"3,96",EUR,demo12734955,purchase,demo
66982540,20.11.17 15:10:04,1397120,approved,"9,54",EUR,demo36675810,purchase,demo
66982538,20.11.17 15:10:04,1397120,approved,"2,15",EUR,demo52353094,purchase,demo
66971862,20.11.17 14:11:21,1397120,processing,"2,45",UAH,demo55111501,verification,demo
66971858,20.11.17 14:11:21,1397120,processing,"8,39",UAH,demo38719895,verification,demo
66971853,20.11.17 14:11:20,1397120,processing,"5,81",UAH,demo16927629,verification,demo
66971850,20.11.17 14:11:19,1397120,processing,"3,27",UAH,demo26079511,verification,demo
66971842,20.11.17 14:11:18,1397120,processing,"0,37",UAH,demo59846303,verification,demo
66971841,20.11.17 14:11:17,1397120,processing,"4,15",UAH,demo61953253,verification,demo
66971837,20.11.17 14:11:16,1397120,processing,"8,18",UAH,demo90451189,verification,demo
66971833,20.11.17 14:11:15,1397120,processing,"5,73",UAH,demo18575849,verification,demo
66971828,20.11.17 14:11:14,1397120,processing,"0,96",UAH,demo52122506,verification,demo
66971826,20.11.17 14:11:14,1397120,processing,"0,47",UAH,demo32080044,verification,demo
66971821,20.11.17 14:11:13,1397120,processing,"6,53",USD,demo96300331,verification,demo
66971818,20.11.17 14:11:12,1397120,processing,"1,52",USD,demo56548036,verification,demo
66971809,20.11.17 14:11:11,1397120,processing,"5,26",USD,demo61386757,verification,demo
66971808,20.11.17 14:11:10,1397120,processing,"7,5",USD,demo87295405,verification,demo
66971798,20.11.17 14:11:09,1397120,processing,"2,9",USD,demo84603220,verification,demo
66971795,20.11.17 14:11:08,1397120,processing,"9,56",USD,demo25331571,verification,demo
66971786,20.11.17 14:11:07,1397120,processing,"8,57",USD,demo68648314,verification,demo
66971783,20.11.17 14:11:06,1397120,processing,"3,62",USD,demo82718290,verification,demo
66971781,20.11.17 14:11:05,1397120,processing,"1,78",USD,demo92836663,verification,demo
66971775,20.11.17 14:11:04,1397120,declined,"5,28",USD,demo05211302,verification,demo
66971772,20.11.17 14:11:04,1397120,declined,"2,53",USD,demo17381503,verification,demo
66971761,20.11.17 14:11:02,1397120,declined,"3,99",USD,demo17778212,verification,demo
66971759,20.11.17 14:11:02,1397120,declined,"3,27",USD,demo94046672,verification,demo
66971751,20.11.17 14:11:00,1397120,declined,"5,91",USD,demo54806436,verification,demo
66971750,20.11.17 14:10:59,1397120,declined,"0,54",USD,demo66512357,verification,demo
66971743,20.11.17 14:10:58,1397120,declined,"4,65",USD,demo93955242,verification,demo
66971739,20.11.17 14:10:57,1397120,declined,"2,67",USD,demo58532322,verification,demo
66971735,20.11.17 14:10:56,1397120,declined,"7,8",USD,demo44598936,verification,demo
66971733,20.11.17 14:10:56,1397120,declined,"2,67",USD,demo24513162,verification,demo
66971730,20.11.17 14:10:55,1397120,processing,"5,73",UAH,demo58084132,verification,demo
66971727,20.11.17 14:10:55,1397120,processing,"7,83",UAH,demo74576652,verification,demo
66971719,20.11.17 14:10:53,1397120,processing,"8,24",UAH,demo97182332,verification,demo
66971718,20.11.17 14:10:53,1397120,processing,"2,31",UAH,demo57095681,verification,demo
66971705,20.11.17 14:10:51,1397120,processing,"5,35",UAH,demo43505282,verification,demo
66971703,20.11.17 14:10:51,1397120,processing,"6,92",UAH,demo90890586,verification,demo
66971698,20.11.17 14:10:50,1397120,processing,"3,68",UAH,demo61621393,verification,demo
66971695,20.11.17 14:10:49,1397120,processing,"1,26",UAH,demo59701472,verification,demo
66971691,20.11.17 14:10:48,1397120,processing,"4,76",UAH,demo08085646,verification,demo
66971689,20.11.17 14:10:48,1397120,processing,"2,84",UAH,demo09940468,verification,demo
66971684,20.11.17 14:10:47,1397120,processing,"6,78",USD,demo17603371,verification,demo
66971682,20.11.17 14:10:47,1397120,processing,"2,04",USD,demo13262706,verification,demo
66971673,20.11.17 14:10:46,1397120,processing,"7,42",USD,demo96940616,verification,demo
66971671,20.11.17 14:10:45,1397120,processing,"9,53",USD,demo45437594,verification,demo
66971661,20.11.17 14:10:43,1397120,processing,"1,76",USD,demo19266684,verification,demo
66971659,20.11.17 14:10:43,1397120,processing,"5,25",USD,demo34586298,verification,demo
66971655,20.11.17 14:10:42,1397120,processing,"2,29",USD,demo18058406,verification,demo
66971650,20.11.17 14:10:41,1397120,processing,"2,12",USD,demo92031575,verification,demo
66971646,20.11.17 14:10:40,1397120,processing,"5,61",USD,demo27218943,verification,demo
66971643,20.11.17 14:10:39,1397120,processing,"0,48",USD,demo22561920,verification,demo
66971636,20.11.17 14:10:38,1397120,reversed,"0,59",EUR,demo01139835,verification,demo
66971631,20.11.17 14:10:37,1397120,reversed,"9,63",EUR,demo70726885,verification,demo
66971629,20.11.17 14:10:37,1397120,reversed,"0,48",EUR,demo60848047,verification,demo
66971619,20.11.17 14:10:35,1397120,reversed,"8,21",EUR,demo74115076,verification,demo
66971615,20.11.17 14:10:35,1397120,reversed,"7,38",EUR,demo44530071,verification,demo
66971609,20.11.17 14:10:34,1397120,reversed,"2,69",EUR,demo40784188,verification,demo
66971604,20.11.17 14:10:33,1397120,reversed,"6,02",EUR,demo60083883,verification,demo
66971598,20.11.17 14:10:32,1397120,reversed,"8,25",EUR,demo27249084,verification,demo
66971597,20.11.17 14:10:31,1397120,reversed,"1,25",EUR,demo33863209,verification,demo
66971592,20.11.17 14:10:30,1397120,reversed,"8,32",EUR,demo66634961,verification,demo
66971590,20.11.17 14:10:29,1397120,reversed,"4,37",EUR,demo64678776,verification,demo
66971585,20.11.17 14:10:28,1397120,reversed,"6,4",EUR,demo18856268,verification,demo
66971583,20.11.17 14:10:28,1397120,reversed,"1,24",EUR,demo59503148,verification,demo
66971577,20.11.17 14:10:26,1397120,reversed,"9,27",EUR,demo23934454,verification,demo
66971574,20.11.17 14:10:25,1397120,reversed,"2,14",EUR,demo51195503,verification,demo
66971572,20.11.17 14:10:25,1397120,reversed,"1,52",EUR,demo41569082,verification,demo
66971564,20.11.17 14:10:24,1397120,reversed,"1,57",EUR,demo10723944,verification,demo
66971562,20.11.17 14:10:23,1397120,reversed,"6,08",EUR,demo19884917,verification,demo
66971560,20.11.17 14:10:23,1397120,reversed,"5,06",EUR,demo79116246,verification,demo
66971555,20.11.17 14:10:22,1397120,reversed,"3,73",USD,demo14056804,verification,demo
66971552,20.11.17 14:10:21,1397120,reversed,"6,67",USD,demo40733838,verification,demo
66971542,20.11.17 14:10:20,1397120,reversed,"7,03",USD,demo83091147,verification,demo
66971540,20.11.17 14:10:19,1397120,reversed,"7,17",USD,demo74487363,verification,demo
66971531,20.11.17 14:10:18,1397120,reversed,"7,69",USD,demo06773301,verification,demo
66971529,20.11.17 14:10:17,1397120,reversed,"5,31",USD,demo84277896,verification,demo
66971525,20.11.17 14:10:16,1397120,reversed,"1,57",USD,demo71252424,verification,demo
66971516,20.11.17 14:10:15,1397120,reversed,"3,55",USD,demo76119743,verification,demo
66971515,20.11.17 14:10:15,1397120,reversed,"5,02",USD,demo03927504,verification,demo
66971510,20.11.17 14:10:13,1397120,approved,"9,9",USD,demo40158179,purchase,demo
66971506,20.11.17 14:10:13,1397120,approved,"2,83",USD,demo74956908,purchase,demo
66971498,20.11.17 14:10:11,1397120,approved,"6,42",USD,demo83217743,purchase,demo
66971496,20.11.17 14:10:11,1397120,approved,"4,29",USD,demo64704739,purchase,demo
66971484,20.11.17 14:10:08,1397120,approved,"1,45",USD,demo39393149,purchase,demo
66971481,20.11.17 14:10:07,1397120,approved,"0,46",USD,demo31164613,purchase,demo
66971476,20.11.17 14:10:06,1397120,approved,"3,62",USD,demo83237825,purchase,demo
66971471,20.11.17 14:10:05,1397120,approved,"9,61",USD,demo94533809,purchase,demo
66971464,20.11.17 14:10:04,1397120,approved,"5,78",USD,demo07995617,purchase,demo
66971459,20.11.17 14:10:03,1397120,approved,"2,23",USD,demo03339398,purchase,demo
66960682,20.11.17 13:11:24,1397120,processing,"0,7",USD,demo78838409,verification,demo
66960680,20.11.17 13:11:23,1397120,processing,"5,62",USD,demo81001493,verification,demo
66960674,20.11.17 13:11:22,1397120,processing,"6,83",USD,demo64485006,verification,demo
66960672,20.11.17 13:11:22,1397120,processing,"1,13",USD,demo44271661,verification,demo
66960666,20.11.17 13:11:21,1397120,processing,"9,14",USD,demo56258919,verification,demo
66960661,20.11.17 13:11:20,1397120,processing,"6,78",USD,demo63950037,verification,demo
66960656,20.11.17 13:11:19,1397120,processing,"2,52",USD,demo66072954,verification,demo
66960653,20.11.17 13:11:18,1397120,processing,"8,17",USD,demo63642579,verification,demo
66960649,20.11.17 13:11:18,1397120,processing,"5,74",USD,demo27304833,verification,demo
66960648,20.11.17 13:11:17,1397120,processing,"7,57",USD,demo24631072,verification,demo
66960642,20.11.17 13:11:16,1397120,processing,"1,49",RUB,demo20954636,verification,demo
66960638,20.11.17 13:11:16,1397120,processing,"0,23",RUB,demo28843922,verification,demo
66960631,20.11.17 13:11:15,1397120,processing,"3,07",RUB,demo14500389,verification,demo
66960628,20.11.17 13:11:14,1397120,processing,"0,42",RUB,demo43502687,verification,demo
66960610,20.11.17 13:11:08,1397120,processing,"0,93",RUB,demo66178651,verification,demo
66960608,20.11.17 13:11:08,1397120,processing,"8,8",RUB,demo68863258,verification,demo
66960604,20.11.17 13:11:07,1397120,processing,"8,14",RUB,demo82492343,verification,demo
66960599,20.11.17 13:11:06,1397120,processing,"1,44",RUB,demo62499393,verification,demo
66960591,20.11.17 13:11:05,1397120,processing,"6,08",RUB,demo55897639,verification,demo
66960589,20.11.17 13:11:04,1397120,processing,"9,76",RUB,demo35401883,verification,demo
66960587,20.11.17 13:11:03,1397120,declined,"9,19",USD,demo84980149,verification,demo
66960584,20.11.17 13:11:03,1397120,declined,"5,19",USD,demo37226834,verification,demo
66960578,20.11.17 13:11:02,1397120,declined,"6,82",USD,demo56207014,verification,demo
66960576,20.11.17 13:11:01,1397120,declined,"3,02",USD,demo00725343,verification,demo
66960562,20.11.17 13:10:59,1397120,declined,"5,72",USD,demo53417996,verification,demo
66960559,20.11.17 13:10:59,1397120,declined,"3,96",USD,demo32553980,verification,demo
66960553,20.11.17 13:10:58,1397120,declined,"2,69",USD,demo22123554,verification,demo
66960549,20.11.17 13:10:57,1397120,declined,"4,31",USD,demo02080378,verification,demo
66960546,20.11.17 13:10:56,1397120,declined,"2,2",USD,demo32916093,verification,demo
66960545,20.11.17 13:10:56,1397120,declined,"0,29",USD,demo47993402,verification,demo
66960542,20.11.17 13:10:55,1397120,processing,"2,6",GBP,demo04733980,verification,demo
66960538,20.11.17 13:10:55,1397120,processing,"0,38",GBP,demo12087271,verification,demo
66960532,20.11.17 13:10:53,1397120,processing,"2,4",GBP,demo10567841,verification,demo
66960531,20.11.17 13:10:53,1397120,processing,"4,33",GBP,demo34361836,verification,demo
66960520,20.11.17 13:10:51,1397120,processing,"5,64",GBP,demo58265799,verification,demo
66960518,20.11.17 13:10:51,1397120,processing,"0,35",GBP,demo21776538,verification,demo
66960515,20.11.17 13:10:50,1397120,processing,"6,57",GBP,demo11083465,verification,demo
66960509,20.11.17 13:10:49,1397120,processing,"7,43",GBP,demo05418299,verification,demo
66960504,20.11.17 13:10:48,1397120,processing,"1,05",GBP,demo04711162,verification,demo
66960501,20.11.17 13:10:48,1397120,processing,"9,94",GBP,demo46429725,verification,demo
66960498,20.11.17 13:10:47,1397120,processing,"4,42",UAH,demo50179089,verification,demo
66960493,20.11.17 13:10:46,1397120,processing,"5,48",UAH,demo03403372,verification,demo
66960488,20.11.17 13:10:45,1397120,processing,"8,12",UAH,demo37001368,verification,demo
66960486,20.11.17 13:10:45,1397120,processing,"8,5",UAH,demo36242482,verification,demo
66960475,20.11.17 13:10:43,1397120,processing,"1,51",UAH,demo25461129,verification,demo
66960473,20.11.17 13:10:43,1397120,processing,"6,63",UAH,demo07044002,verification,demo
66960469,20.11.17 13:10:42,1397120,processing,"8,22",UAH,demo05058474,verification,demo
66960466,20.11.17 13:10:41,1397120,processing,"4,05",UAH,demo67444028,verification,demo
66960460,20.11.17 13:10:41,1397120,processing,"9,28",UAH,demo00874636,verification,demo
66960457,20.11.17 13:10:40,1397120,processing,"8,76",UAH,demo19813566,verification,demo
66960448,20.11.17 13:10:37,1397120,reversed,"0,16",CZK,demo15948032,verification,demo
66960446,20.11.17 13:10:37,1397120,reversed,"6,98",CZK,demo06745042,verification,demo
66960440,20.11.17 13:10:36,1397120,reversed,"0,86",CZK,demo97151960,verification,demo
66960437,20.11.17 13:10:35,1397120,reversed,"3,43",CZK,demo21724686,verification,demo
